threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,50,500,187,0.374,12,17
10,50,500,187,0.374,12,17
20,50,500,187,0.374,12,17
30,50,500,187,0.374,12,17
40,50,500,187,0.374,12,17
50,48,480,181,0.3770833333333333,12,17
60,42,420,173,0.4119047619047619,12,17
70,41,410,173,0.4219512195121951,12,17
80,31,310,157,0.5064516129032258,12,17
90,25,250,144,0.576,12,17
