threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,57,570,232,0.4070175438596491,7,14
10,57,570,232,0.4070175438596491,7,14
20,56,560,232,0.4142857142857143,7,14
30,48,480,223,0.46458333333333335,7,13
40,47,470,221,0.4702127659574468,7,12
50,38,380,193,0.5078947368421053,7,12
60,38,380,193,0.5078947368421053,7,12
70,28,280,152,0.5428571428571428,7,12
80,25,250,138,0.552,7,12
90,11,110,70,0.6363636363636364,7,12
