threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count
0,145,1450,576,0.3972413793103448,102
10,145,1450,576,0.3972413793103448,102
20,144,1440,576,0.4,101
30,144,1440,576,0.4,101
40,144,1440,576,0.4,101
50,139,1390,570,0.41007194244604317,96
60,135,1350,570,0.4222222222222222,92
70,122,1220,564,0.46229508196721314,84
80,108,1080,548,0.5074074074074074,72
90,98,980,532,0.5428571428571428,64
