threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count
0,58,580,208,0.3586206896551724,39
10,58,580,208,0.3586206896551724,39
20,54,540,208,0.3851851851851852,38
30,48,480,201,0.41875,33
40,48,480,201,0.41875,33
50,46,460,201,0.4369565217391304,31
60,46,460,201,0.4369565217391304,31
70,46,460,201,0.4369565217391304,31
80,43,430,199,0.4627906976744186,30
90,29,290,170,0.5862068965517241,16
